cell,output,length,file,preview
0,0,409,data/logs/network_cell_0_output_0.txt,"WARNING: Using incubator modules: jdk.incubator.vector Using Spark's default log4j profile: org/apache/spark/log4j2-defaults.properties Setting default log level to ""WARN"". To adjust logging level use sc.setLogLevel(newLevel). For SparkR, use setLogLevel(newLevel). 26/06/14 17:44:00 WARN NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable"
1,0,88,data/logs/network_cell_1_output_0.txt,rm: cannot remove '/kaggle/working/channels_11_parquet.zip': No such file or directory
3,0,91,data/logs/network_cell_3_output_0.txt,--- Loading: channels_10_parquet.zip --- --- Processing handle channels_10_parquet.zip ---
3,2,725,data/logs/network_cell_3_output_2.txt,Remove ZIP file and complete: channels_10_parquet.zip --- Loading: channels_11_parquet.zip --- --- Processing handle channels_11_parquet.zip --- Remove ZIP file and complete: channels_11_parquet.zip --- Loading: channels_12_parquet.zip --- --- Processing handle channels_12_parquet.zip --- Remove ZIP file and complete: channels_12_parquet.zip --- Loading: channels_13_parquet.zip --- --- Processing handle channels_13_parquet.zip --- Remove ZIP file and complete: channels_13_parquet.zip --- Loading: channels_14_parquet.zip --- --- Processing handle channels_14_parquet.zip --- Remove ZIP file and complete: channels_14_parquet.zip --- Loading: channels_15_parquet.zip --- --- Processing handle cha
3,3,4607,data/logs/network_cell_3_output_3.txt,26/06/14 19:34:41 ERROR Executor: Exception in task 0.0 in stage 72908.0 (TID 64422) org.apache.spark.SparkException: Exception thrown in awaitResult: at org.apache.spark.util.SparkThreadUtils$.awaitResult(SparkThreadUtils.scala:53) at org.apache.spark.util.ThreadUtils$.awaitResult(ThreadUtils.scala:342) at org.apache.spark.util.ThreadUtils$.parmap(ThreadUtils.scala:419) at org.apache.spark.sql.execution.datasources.parquet.ParquetFileFormat$.readParquetFootersInParallel(ParquetFileFormat.scala:444) at org.apache.spark.sql.execution.datasources.parquet.ParquetFileFormat$.$anonfun$mergeSchemasInParallel$1(ParquetFileFormat.scala:494) at org.apache.spark.sql.execution.datasources.parquet.Parqu
3,4,26874,data/logs/network_cell_3_output_4.txt,"Lỗi thực sự tại file /kaggle/working/temp_extract/channels_15_parquet/channel_1502533790.parquet: An error occurred while calling o1010026.parquet. : org.apache.spark.SparkException: Job aborted due to stage failure: Task 0 in stage 72908.0 failed 1 times, most recent failure: Lost task 0.0 in stage 72908.0 (TID 64422) (a08040911e95 executor driver): org.apache.spark.SparkException: Exception thrown in awaitResult: at org.apache.spark.util.SparkThreadUtils$.awaitResult(SparkThreadUtils.scala:53) at org.apache.spark.util.ThreadUtils$.awaitResult(ThreadUtils.scala:342) at org.apache.spark.util.ThreadUtils$.parmap(ThreadUtils.scala:419) at org.apache.spark.sql.execution.datasources.parquet.Parq"
3,5,4534,data/logs/network_cell_3_output_5.txt,26/06/14 20:58:29 ERROR Executor: Exception in task 0.0 in stage 139267.0 (TID 122755) org.apache.spark.SparkException: Exception thrown in awaitResult: at org.apache.spark.util.SparkThreadUtils$.awaitResult(SparkThreadUtils.scala:53) at org.apache.spark.util.ThreadUtils$.awaitResult(ThreadUtils.scala:342) at org.apache.spark.util.ThreadUtils$.parmap(ThreadUtils.scala:419) at org.apache.spark.sql.execution.datasources.parquet.ParquetFileFormat$.readParquetFootersInParallel(ParquetFileFormat.scala:444) at org.apache.spark.sql.execution.datasources.parquet.ParquetFileFormat$.$anonfun$mergeSchemasInParallel$1(ParquetFileFormat.scala:494) at org.apache.spark.sql.execution.datasources.parquet.Par
3,6,26270,data/logs/network_cell_3_output_6.txt,"Lỗi thực sự tại file /kaggle/working/temp_extract/channel_1872306404.parquet: An error occurred while calling o1922490.parquet. : org.apache.spark.SparkException: Job aborted due to stage failure: Task 0 in stage 139267.0 failed 1 times, most recent failure: Lost task 0.0 in stage 139267.0 (TID 122755) (a08040911e95 executor driver): org.apache.spark.SparkException: Exception thrown in awaitResult: at org.apache.spark.util.SparkThreadUtils$.awaitResult(SparkThreadUtils.scala:53) at org.apache.spark.util.ThreadUtils$.awaitResult(ThreadUtils.scala:342) at org.apache.spark.util.ThreadUtils$.parmap(ThreadUtils.scala:419) at org.apache.spark.sql.execution.datasources.parquet.ParquetFileFormat$.re"
3,7,4534,data/logs/network_cell_3_output_7.txt,26/06/14 20:59:29 ERROR Executor: Exception in task 0.0 in stage 140103.0 (TID 123477) org.apache.spark.SparkException: Exception thrown in awaitResult: at org.apache.spark.util.SparkThreadUtils$.awaitResult(SparkThreadUtils.scala:53) at org.apache.spark.util.ThreadUtils$.awaitResult(ThreadUtils.scala:342) at org.apache.spark.util.ThreadUtils$.parmap(ThreadUtils.scala:419) at org.apache.spark.sql.execution.datasources.parquet.ParquetFileFormat$.readParquetFootersInParallel(ParquetFileFormat.scala:444) at org.apache.spark.sql.execution.datasources.parquet.ParquetFileFormat$.$anonfun$mergeSchemasInParallel$1(ParquetFileFormat.scala:494) at org.apache.spark.sql.execution.datasources.parquet.Par
3,8,26270,data/logs/network_cell_3_output_8.txt,"Lỗi thực sự tại file /kaggle/working/temp_extract/channel_1872375289.parquet: An error occurred while calling o1934130.parquet. : org.apache.spark.SparkException: Job aborted due to stage failure: Task 0 in stage 140103.0 failed 1 times, most recent failure: Lost task 0.0 in stage 140103.0 (TID 123477) (a08040911e95 executor driver): org.apache.spark.SparkException: Exception thrown in awaitResult: at org.apache.spark.util.SparkThreadUtils$.awaitResult(SparkThreadUtils.scala:53) at org.apache.spark.util.ThreadUtils$.awaitResult(ThreadUtils.scala:342) at org.apache.spark.util.ThreadUtils$.parmap(ThreadUtils.scala:419) at org.apache.spark.sql.execution.datasources.parquet.ParquetFileFormat$.re"
