cluster_key,channel_count,message_count,forwards_sum,forwards_per_channel
cluster_10,85,13487,340999.0,4011.752941
cluster_11,592,86396,11182480.0,18889.324324
cluster_12,951,140267,12799581.0,13459.07571
cluster_13,970,156377,28451509.0,29331.452577
cluster_14,1147,182620,31414720.0,27388.596338
cluster_15,1226,181175,36661042.0,29902.970636
cluster_16,1070,162705,25483715.0,23816.556075
cluster_17,1002,136795,16340589.0,16307.973054
cluster_18,800,104610,11815806.0,14769.7575
cluster_19,711,79929,10130052.0,14247.611814
cluster_20,698,55043,4382938.0,6279.280802
cluster_21,459,32256,2685629.0,5851.043573
cluster_22,115,6049,284376.0,2472.834783
cluster_24,1,1,4.0,4.0
