feature,importance
message_count,0.148855
toxicity_std,0.14477
messages_per_channel,0.122124
channel_count,0.100169
identity_attack_mean,0.086015
toxicity_mean,0.060156
toxic_rate,0.058298
insult_mean,0.040736
word_count_mean,0.037957
identity_attack_max,0.031077
profanity_mean,0.027977
content_length_mean,0.022652
threat_rate,0.017968
severe_toxicity_max,0.017638
severe_rate,0.015962
threat_mean,0.015377
insult_max,0.015231
toxicity_max,0.01397
threat_max,0.010381
severe_toxicity_mean,0.008728
profanity_max,0.00396
political_mean,0.0
