cluster_key,cluster_id,channel_count,message_count,messages_per_channel,forwards_sum,forwards_mean,forwards_per_channel,amplification_score,observed_amplification_score,risk_level,observed_risk_level
cluster_14,14,1147,182620,159.215344,31414720.0,172.022341,27388.596338,0.923333,0.857143,High,High
cluster_13,13,970,156377,161.213402,28451509.0,181.941775,29331.452577,0.846667,0.928571,High,High
cluster_15,15,1226,181175,147.777325,36661042.0,202.35155,29902.970636,0.82,1.0,High,High
cluster_16,16,1070,162705,152.060748,25483715.0,156.625273,23816.556075,0.413333,0.785714,Medium,High
cluster_18,18,800,104610,130.7625,11815806.0,112.951018,14769.7575,0.393333,0.571429,Medium,Medium
cluster_19,19,711,79929,112.417722,10130052.0,126.73813,14247.611814,0.38,0.5,Medium,Medium
cluster_21,21,459,32256,70.27451,2685629.0,83.259828,5851.043573,0.32,0.285714,Low,Low
cluster_22,22,115,6049,52.6,284376.0,47.012068,2472.834783,0.206667,0.142857,Low,Low
cluster_17,17,1002,136795,136.521956,16340589.0,119.453116,16307.973054,0.13,0.642857,Low,Medium
cluster_12,12,951,140267,147.494217,12799581.0,91.251549,13459.07571,0.123333,0.428571,Low,Medium
cluster_10,10,85,13487,158.670588,340999.0,25.283532,4011.752941,0.066667,0.214286,Low,Low
cluster_11,11,592,86396,145.939189,11182480.0,129.432844,18889.324324,0.063333,0.714286,Low,High
cluster_20,20,698,55043,78.858166,4382938.0,79.627528,6279.280802,0.036667,0.357143,Low,Medium
cluster_24,24,1,1,1.0,4.0,4.0,4.0,0.013333,0.071429,Low,Low
